text,label,text_clean
ร้านนี้บริการดีมาก ชอบมาก,pos,ร้าน นี้ บริการ ดีมาก   ชอบ มาก
อาหารอร่อย คุณภาพดี,pos,อาหาร อร่อย   คุณภาพดี
พนักงานพูดจาดีมาก,pos,พนักงาน พูดจา ดีมาก
คุ้มค่ากับราคาที่จ่าย,pos,คุ้มค่า กับ รา คาที่ จ่าย
บริการรวดเร็วทันใจ,pos,บริการ รวดเร็วทันใจ
รอนานเกินไป ไม่ประทับใจ,neg,รอ นาน เกินไป   ไม่ ประทับใจ
ราคาสูงเกินไป ไม่โอเค,neg,ราคา สูง เกินไป   ไม่ โอเค
พนักงานพูดจาไม่ดีเลย,neg,พนักงาน พูดจา ไม่ ดี เลย
อาหารไม่สดเลย,neg,อาหาร ไม่ สด เลย
ผิดหวังกับบริการ,neg,ผิดหวัง กับ บริการ
ราคาปานกลาง คุณภาพโอเค,neu,ราคา ปานกลาง   คุณภาพ โอเค
ร้านเปิดปกติทุกวัน,neu,ร้าน เปิด ปกติ ทุกวัน
อาหารรสชาติปกติ,neu,อาหาร รสชาติ ปกติ
บรรยากาศธรรมดา ๆ,neu,บรรยากาศ ธรรมดา   ๆ
พนักงานเฉย ๆ,neu,พนักงาน เฉย ๆ
